project_id,floor_no,element_type,planned_start_day,cycle_time_days,actual_start_day
P037,13,Column,282,4,284
P085,18,Column,241,6,243
P008,24,Column,170,4,170
P028,27,Slab,347,7,348
P005,4,Beam,294,5,293
P017,22,Column,227,6,228
P036,24,Wall,315,3,316
P019,10,Column,127,3,129
P064,2,Slab,280,4,285
P091,6,Column,21,9,24
P098,18,Beam,316,7,316
P011,17,Column,246,8,245
P054,23,Beam,90,9,89
P045,30,Beam,6,6,5
P047,21,Wall,266,5,269
P012,10,Beam,97,7,98
P021,13,Slab,150,4,148
P011,12,Slab,80,7,80
P092,9,Beam,17,5,15
P005,4,Beam,138,7,139
P081,24,Column,140,6,142
P056,34,Column,339,4,337
P020,5,Wall,40,5,45
P041,15,Column,168,4,166
P046,4,Slab,74,8,74
P012,8,Column,74,6,75
P070,24,Wall,50,5,50
P017,28,Wall,10,8,12
P019,27,Beam,103,8,106
P026,1,Wall,350,8,353
P048,34,Beam,299,5,304
P052,17,Slab,339,4,342
P096,26,Slab,104,7,103
P070,24,Column,290,7,293
P055,21,Wall,280,8,285
P100,30,Slab,142,3,146
P075,13,Beam,297,3,300
P033,3,Wall,170,5,171
P062,32,Wall,13,4,17
P088,19,Beam,157,5,162
P023,14,Wall,174,4,177
P015,22,Wall,162,6,165
P027,17,Slab,132,3,134
P075,4,Beam,28,5,30
P064,19,Slab,83,9,81
P081,2,Beam,363,6,367
P051,15,Column,269,7,274
P053,2,Wall,251,3,251
P078,11,Wall,106,4,104
P091,23,Slab,261,8,259
P082,10,Wall,353,7,352
P092,3,Wall,14,7,14
P051,5,Slab,80,6,79
P047,3,Slab,160,9,163
P004,13,Beam,178,5,183
P007,19,Column,155,8,157
P035,24,Slab,35,5,38
P048,24,Beam,259,6,258
P073,17,Slab,260,7,262
P072,10,Beam,135,3,133
P045,2,Column,131,7,136
P081,23,Beam,81,6,86
P081,6,Beam,59,7,62
P097,2,Wall,74,8,73
P096,21,Slab,239,7,242
P072,29,Beam,129,7,129
P019,7,Slab,315,7,320
P063,29,Beam,138,3,137
P038,23,Wall,103,4,105
P067,33,Wall,9,4,14
P059,8,Column,232,5,233
P069,12,Beam,99,4,102
P013,10,Wall,218,4,222
P047,15,Slab,237,4,240
P061,24,Beam,222,9,226
P031,26,Beam,168,7,168
P080,3,Column,62,9,64
P096,2,Slab,318,7,321
P022,6,Column,10,8,14
P093,21,Beam,234,3,235
P086,9,Column,87,9,90
P043,10,Beam,267,7,267
P067,3,Beam,204,7,205
P054,24,Column,318,4,316
P010,22,Column,333,3,331
P042,14,Beam,360,3,363
P064,27,Column,241,4,240
P021,33,Column,56,9,55
P080,22,Beam,110,4,109
P076,29,Slab,49,3,48
P066,19,Column,243,6,247
P041,19,Column,16,4,21
P024,6,Wall,73,4,76
P035,19,Slab,202,3,203
P056,13,Column,93,9,93
P030,26,Beam,137,6,137
P057,22,Wall,33,8,37
P094,21,Wall,88,6,87
P047,2,Wall,203,5,201
P035,30,Column,39,6,41
P019,27,Beam,114,4,113
P008,7,Wall,333,7,332
P026,20,Slab,247,3,250
P071,31,Wall,343,8,347
P030,23,Wall,208,4,206
P007,13,Slab,312,8,314
P067,17,Wall,297,3,298
P065,4,Wall,360,8,361
P036,14,Slab,211,6,213
P025,20,Column,355,3,357
P037,13,Slab,59,4,63
P001,3,Column,156,7,157
P015,26,Column,122,4,121
P037,26,Column,120,9,124
P013,18,Slab,297,5,302
P008,32,Slab,322,3,321
P005,14,Column,62,4,65
P060,3,Slab,158,6,156
P073,1,Column,40,6,42
P001,26,Slab,242,9,241
P036,24,Beam,40,8,39
P035,14,Slab,358,4,356
P066,3,Slab,190,8,192
P063,13,Slab,234,5,232
P023,14,Column,15,3,13
P009,21,Column,124,5,125
P034,26,Beam,228,7,226
P046,3,Beam,280,9,284
P078,4,Wall,48,8,52
P004,1,Beam,189,4,193
P030,33,Column,304,8,306
P095,7,Beam,47,5,46
P075,11,Beam,184,9,183
P099,27,Slab,105,7,106
P072,14,Beam,247,5,249
P003,22,Wall,264,7,268
P014,16,Slab,206,9,205
P060,12,Column,18,6,16
P077,10,Wall,364,6,368
P045,24,Column,251,4,255
P096,18,Wall,238,5,238
P034,22,Slab,340,6,344
P045,9,Wall,321,8,321
P061,17,Wall,302,9,307
P083,13,Beam,66,3,70
P016,6,Column,336,9,341
P066,21,Slab,150,8,154
P040,7,Wall,193,6,197
P017,25,Column,147,6,147
P034,11,Column,183,5,183
P016,14,Beam,106,7,111
P060,29,Column,236,3,234
P066,10,Slab,126,3,125
P066,5,Beam,179,7,184
P090,8,Wall,13,5,14
P013,5,Slab,231,6,236
P056,24,Slab,28,7,26
P031,26,Slab,323,9,322
P034,6,Beam,261,9,263
P039,16,Column,100,9,99
P067,12,Slab,188,3,187
P008,11,Column,337,3,336
P087,3,Column,300,9,298
P078,6,Slab,119,9,118
P055,19,Column,46,9,50
P027,18,Beam,68,6,73
P093,16,Beam,305,6,304
P053,23,Wall,171,4,176
P039,9,Column,358,8,360
P065,3,Column,196,7,198
P017,8,Wall,333,6,333
P030,4,Beam,20,4,23
P053,12,Wall,111,5,116
P013,31,Wall,146,9,151
P021,25,Wall,192,3,197
P019,16,Column,229,7,227
P053,14,Column,12,8,11
P019,13,Column,217,5,217
P057,7,Column,79,7,79
P025,12,Slab,36,7,34
P086,4,Wall,264,6,267
P031,2,Wall,28,4,28
P081,3,Column,86,7,86
P055,4,Beam,188,8,186
P023,12,Slab,305,5,306
P032,19,Slab,254,8,254
P062,10,Beam,80,7,82
P074,1,Column,186,8,190
P010,17,Slab,5,8,5
P100,16,Slab,46,9,44
P072,9,Wall,354,4,352
P054,9,Wall,102,3,105
P052,9,Column,2,7,6
P020,12,Column,217,5,218
P032,15,Wall,25,9,26
P014,2,Wall,257,9,260
P050,11,Wall,223,3,226
P028,11,Beam,324,8,326
P053,8,Slab,69,3,74
P024,32,Column,197,6,201
P079,6,Column,272,6,274
P022,20,Beam,182,7,182
P030,8,Wall,18,9,19
P063,34,Slab,107,5,109
P004,19,Wall,17,6,17
P077,7,Column,125,8,124
P059,31,Beam,82,4,82
P087,18,Slab,4,4,8
P008,14,Slab,115,8,117
P082,17,Slab,351,3,356
P012,9,Slab,351,8,355
P031,20,Beam,137,3,137
P078,28,Column,287,3,291
P034,20,Slab,228,4,232
P082,27,Slab,16,6,15
P098,8,Column,298,8,303
P075,32,Wall,212,6,217
P076,1,Slab,246,7,248
P049,17,Slab,286,5,286
P079,9,Wall,282,4,284
P057,20,Column,177,9,180
P095,32,Column,31,3,34
P093,2,Slab,50,5,50
P026,32,Column,143,3,141
P018,9,Wall,52,5,54
P096,30,Beam,233,5,238
P086,20,Wall,166,6,168
P038,1,Wall,38,9,41
P081,5,Beam,20,7,23
P087,1,Wall,99,7,103
P088,14,Slab,215,3,217
P050,9,Slab,44,4,46
P008,30,Column,111,7,114
P041,24,Column,89,4,89
P006,4,Wall,319,3,324
P069,14,Slab,118,4,119
P044,25,Slab,239,5,243
P064,4,Beam,72,5,72
P029,25,Column,310,3,315
P028,10,Slab,304,4,303
P011,7,Wall,163,9,161
P065,13,Slab,251,9,256
P019,4,Column,357,4,357
P009,14,Wall,195,3,195
P027,18,Column,60,9,62
P034,8,Slab,98,7,102
P044,32,Slab,356,6,355
P068,27,Slab,355,7,359
P100,23,Column,73,8,75
P082,7,Wall,222,6,227
P015,12,Slab,119,4,122
P051,25,Slab,182,6,186
P013,3,Slab,218,9,220
P083,26,Beam,256,6,261
P049,4,Beam,88,4,89
P070,15,Wall,361,5,359
P056,32,Column,275,6,280
P076,29,Slab,336,9,341
P051,10,Slab,26,9,27
P037,21,Column,121,3,126
P017,16,Column,289,7,291
P058,19,Wall,362,4,360
P087,29,Column,30,4,30
P090,18,Slab,202,6,206
P029,16,Wall,36,5,35
P033,1,Beam,125,5,130
P060,2,Wall,223,7,224
P091,15,Wall,235,7,234
P089,28,Wall,124,9,126
P055,1,Column,171,5,169
P010,5,Slab,181,8,184
P047,22,Column,215,5,219
P023,13,Slab,118,5,122
P085,1,Column,227,6,232
P021,16,Wall,37,9,37
P013,22,Slab,317,3,315
P033,32,Column,96,7,99
P024,16,Wall,120,8,119
P011,15,Beam,12,8,11
P017,12,Column,122,4,122
P068,1,Column,35,5,38
P047,17,Beam,251,5,254
P025,28,Column,67,3,67
P094,7,Beam,38,9,36
P073,9,Slab,280,5,281
P021,22,Beam,230,7,228
P084,26,Wall,337,8,341
P083,12,Beam,168,5,167
P083,7,Slab,328,3,333
P012,15,Beam,246,6,244
P037,21,Beam,79,7,84
P042,14,Slab,114,6,116
P017,2,Column,301,4,299
P048,8,Column,217,3,221
P028,6,Wall,200,4,198
P041,33,Wall,352,4,355
P099,6,Beam,242,8,246
P047,26,Column,13,4,18
P018,14,Column,207,4,211
P078,8,Beam,262,3,264
P099,13,Slab,97,6,102
P071,13,Column,71,5,70
P013,28,Wall,303,4,303
P082,18,Beam,349,8,347
P013,19,Slab,230,9,231
P100,32,Wall,357,5,360
P031,22,Column,300,8,303
P002,2,Slab,32,5,32
P016,13,Wall,250,4,251
P009,23,Beam,254,7,252
P073,25,Slab,259,9,260
P038,28,Slab,182,5,185
P075,11,Beam,340,7,345
P054,33,Column,166,6,166
P056,24,Column,4,5,5
P086,2,Slab,145,3,146
P097,30,Slab,165,8,165
P100,17,Slab,344,9,349
P087,34,Wall,362,6,366
P045,22,Slab,105,6,105
P034,5,Column,36,9,36
P009,16,Beam,314,7,317
P088,13,Beam,169,4,174
P008,26,Beam,8,8,8
P007,31,Slab,86,3,88
P036,23,Slab,97,9,95
P018,12,Beam,315,9,318
P003,14,Wall,30,3,34
P028,18,Wall,101,7,101
P070,27,Wall,67,7,66
P044,28,Wall,349,6,350
P021,18,Column,63,9,63
P028,16,Beam,32,7,32
P054,16,Column,87,4,85
P054,13,Slab,211,6,211
P065,29,Wall,51,6,54
P100,9,Wall,63,6,65
P021,26,Beam,80,3,79
P099,28,Wall,343,8,342
P013,13,Beam,232,8,236
P057,9,Slab,101,3,106
P049,14,Wall,129,6,129
P054,12,Wall,19,4,24
P010,32,Column,357,5,355
P053,3,Beam,94,6,97
P044,16,Beam,81,7,84
P047,20,Wall,103,9,103
P053,32,Column,154,9,155
P074,23,Wall,269,8,272
P046,17,Beam,118,9,121
P013,16,Beam,342,5,347
P037,8,Wall,279,3,282
P024,19,Slab,363,3,362
P002,30,Wall,225,5,228
P086,34,Column,268,8,273
P081,14,Beam,137,8,138
P100,22,Beam,226,7,228
P014,17,Wall,334,3,333
P010,15,Slab,229,3,228
P035,32,Beam,323,6,325
P025,13,Wall,108,4,113
P003,21,Slab,300,7,301
P017,33,Wall,7,6,7
P012,27,Wall,128,9,133
P054,16,Wall,353,4,357
P024,28,Beam,267,9,265
P029,34,Slab,173,3,174
P043,1,Column,214,4,216
P025,31,Column,247,3,251
P100,33,Beam,106,8,109
P060,33,Beam,83,6,86
P090,18,Wall,292,3,294
P065,23,Wall,203,4,206
P084,23,Slab,41,6,43
P028,15,Wall,205,4,209
P016,26,Slab,348,4,347
P047,30,Wall,49,5,49
P081,25,Wall,143,3,148
P092,16,Column,141,3,140
P058,14,Beam,53,4,52
P076,17,Slab,107,9,106
P027,12,Column,33,8,35
P053,29,Wall,200,3,205
P042,32,Column,119,7,120
P059,24,Slab,288,8,293
P047,13,Beam,229,8,233
P094,20,Column,118,8,123
P034,15,Slab,176,3,174
P037,4,Wall,185,8,183
P006,34,Column,318,8,318
P007,28,Beam,338,6,338
P096,2,Slab,215,3,220
P096,30,Beam,221,8,226
P025,26,Wall,130,9,132
P033,26,Beam,333,7,331
P055,20,Wall,272,8,273
P058,28,Wall,246,4,248
P007,20,Column,123,3,123
P057,11,Wall,8,6,10
P012,10,Beam,67,7,72
P016,23,Column,115,5,115
P080,19,Wall,288,4,286
P043,18,Slab,105,4,109
P100,27,Slab,25,4,30
P077,6,Wall,53,7,55
P007,10,Column,247,3,252
P100,2,Column,337,3,336
P051,24,Column,281,8,286
P073,28,Beam,33,8,36
P032,28,Slab,287,3,291
P075,2,Wall,36,9,36
P008,5,Wall,343,8,342
P097,11,Slab,239,9,239
P087,10,Beam,217,3,221
P089,2,Column,177,4,182
P072,15,Slab,44,5,43
P045,7,Wall,304,4,302
P086,20,Beam,158,9,162
P059,34,Wall,269,8,273
P004,34,Column,171,5,169
P067,22,Slab,221,5,222
P029,31,Column,230,3,231
P029,23,Beam,91,6,92
P098,19,Slab,131,7,133
P098,4,Column,226,6,231
P028,24,Column,225,5,229
P077,20,Column,143,6,148
P079,28,Beam,66,8,66
P087,17,Column,28,5,30
P044,19,Wall,125,4,126
P090,32,Slab,212,8,217
P004,30,Slab,80,4,80
P090,17,Column,238,8,240
P009,29,Beam,132,3,137
P005,6,Wall,328,9,326
P056,17,Wall,300,8,300
P096,17,Slab,119,7,123
P084,14,Slab,46,4,47
P050,24,Wall,84,8,82
P075,32,Slab,282,7,282
P015,14,Column,352,3,354
P032,27,Wall,13,8,16
P028,19,Slab,125,9,128
P022,31,Column,325,7,326
P017,9,Column,172,9,174
P059,17,Wall,234,8,232
P090,19,Column,181,4,185
P071,4,Wall,51,4,49
P057,11,Column,269,6,267
P026,22,Wall,169,6,169
P025,4,Wall,316,8,317
P010,17,Wall,288,6,292
P045,8,Wall,274,8,277
P083,34,Column,349,8,347
P011,11,Wall,207,9,209
P077,31,Slab,148,7,149
P053,11,Column,300,4,303
P072,21,Wall,37,3,39
P068,30,Column,161,5,165
P095,10,Column,275,4,277
P028,26,Column,288,6,293
P075,27,Column,106,8,110
P065,8,Wall,22,6,20
P049,8,Column,233,7,234
P047,8,Slab,122,6,121
P052,34,Column,129,7,133
P088,16,Column,310,3,310
P054,13,Slab,217,8,216
P060,23,Wall,148,6,148
P057,12,Slab,58,7,59
P047,27,Beam,237,6,240
P031,22,Slab,70,7,68
P046,32,Wall,189,9,190
P026,27,Slab,242,8,241
P005,2,Column,63,8,65
P084,33,Wall,241,4,246
P052,26,Beam,185,7,190
P075,28,Wall,259,5,259
P054,19,Column,229,3,229
P033,5,Beam,223,4,222
P050,33,Wall,99,3,97
P038,20,Wall,247,4,252
P027,30,Column,45,6,46
P098,8,Slab,273,7,272
P015,17,Slab,5,6,9
P096,1,Beam,11,3,16
P061,3,Column,348,8,349
P021,26,Column,39,3,43
P046,31,Slab,42,4,40
P069,8,Slab,203,3,205
P006,8,Beam,94,7,98
P038,28,Slab,5,3,6
P062,4,Beam,52,6,56
P086,16,Wall,150,8,148
P062,13,Beam,205,7,204
P082,20,Beam,300,3,303
P078,5,Beam,187,5,189
P074,20,Wall,153,5,155
P046,24,Slab,116,8,118
P013,34,Beam,149,6,149
P095,34,Slab,220,4,223
P094,19,Beam,192,4,190
P003,17,Slab,233,8,234
P094,5,Beam,324,3,323
P006,25,Slab,221,7,225
P093,18,Column,47,8,52
P008,8,Wall,127,4,131
P044,27,Beam,291,5,293
P033,15,Wall,215,4,217
P081,13,Beam,7,5,9
P075,16,Column,184,4,189
P077,22,Column,116,6,114
P050,20,Wall,52,8,51
P011,13,Beam,46,7,44
P095,20,Slab,23,8,22
P028,2,Beam,131,9,132
P070,19,Slab,127,3,131
P041,6,Wall,265,5,265
P016,14,Wall,309,4,308
P068,4,Column,196,3,201
P099,22,Slab,48,5,51
P048,34,Beam,82,8,80
P056,27,Column,109,5,107
P064,7,Wall,263,6,261
P059,3,Column,355,4,355
P090,33,Beam,31,9,30
P062,2,Beam,358,8,363
P076,16,Wall,56,9,55
P011,25,Column,355,3,354
P089,15,Slab,189,4,188
P018,24,Slab,5,8,7
P019,15,Slab,286,9,288
P087,31,Beam,278,4,281
P055,14,Column,145,7,143
P082,14,Slab,196,5,200
P026,6,Column,27,9,29
P006,14,Wall,127,5,131
P004,17,Slab,135,7,139
P029,18,Column,23,7,22
P059,20,Beam,331,4,330
P098,17,Wall,117,5,119
P017,16,Wall,8,3,9
P043,32,Wall,101,6,104
P080,9,Wall,261,8,265
P066,27,Beam,199,7,203
P034,33,Beam,86,3,84
P008,10,Slab,228,3,228
P013,17,Beam,179,4,182
P008,17,Beam,240,7,238
P094,18,Wall,12,3,10
P096,23,Beam,303,6,308
P100,34,Wall,234,3,232
P094,8,Column,183,6,188
P065,13,Column,282,9,285
P043,23,Column,358,6,362
P039,20,Column,190,6,193
P081,22,Column,326,7,328
P059,23,Column,215,9,220
P084,3,Column,258,6,262
P088,34,Wall,26,7,24
P086,33,Wall,270,9,269
P093,17,Wall,82,3,80
P086,19,Wall,358,9,363
P044,30,Beam,185,6,184
P009,23,Beam,288,9,290
P037,15,Slab,62,5,67
P074,14,Beam,30,3,32
P036,2,Wall,31,8,36
P092,18,Wall,293,9,291
P028,6,Column,173,9,176
P042,32,Column,102,9,101
P043,21,Slab,128,5,127
P085,28,Beam,86,5,85
P088,27,Wall,315,4,314
P042,2,Beam,28,7,28
P066,33,Slab,122,4,124
P055,16,Column,251,7,250
P072,22,Wall,61,4,61
P048,13,Column,171,3,171
P091,2,Wall,272,5,274
P022,14,Column,325,3,326
P027,28,Column,300,7,298
P093,7,Slab,113,5,115
P067,18,Beam,194,5,199
P013,4,Column,19,7,20
P045,30,Wall,340,3,343
P010,24,Beam,93,5,98
P100,20,Beam,217,8,222
P009,31,Column,179,9,177
P054,24,Column,191,3,189
P027,7,Column,163,3,161
P034,26,Beam,100,3,105
P001,13,Slab,187,5,187
P032,8,Column,295,6,294
P089,5,Beam,67,9,65
P093,13,Beam,73,4,77
P071,29,Wall,232,7,231
P067,20,Column,189,3,187
P084,14,Slab,50,5,50
P020,32,Wall,309,7,312
P094,27,Column,302,6,300
P035,25,Wall,308,8,310
P099,4,Column,124,6,128
P091,21,Wall,157,5,158
P090,18,Slab,261,3,266
P078,15,Wall,195,6,193
P017,24,Wall,330,9,334
P018,8,Wall,351,6,352
P045,28,Column,331,6,332
P093,21,Column,256,9,261
P084,16,Slab,200,8,204
P053,16,Wall,68,5,68
P091,17,Beam,80,7,83
P082,9,Wall,233,4,234
P068,29,Beam,186,5,186
P065,18,Beam,105,3,108
P001,12,Wall,325,5,323
P058,19,Beam,142,5,141
P026,22,Beam,272,8,277
P020,15,Wall,343,4,343
P087,1,Column,124,4,125
P010,2,Wall,223,4,224
P059,8,Slab,174,7,172
P075,22,Beam,191,5,195
P041,25,Slab,140,8,140
P005,2,Beam,297,3,295
P065,9,Column,119,4,119
P017,9,Beam,275,9,274
P022,13,Wall,76,4,81
P098,6,Beam,109,9,111
P041,30,Slab,119,5,117
P093,15,Wall,258,3,259
P068,15,Slab,20,8,18
P069,7,Column,119,4,123
P011,11,Slab,351,5,351
P056,2,Slab,137,6,142
P051,10,Slab,277,8,275
P021,17,Wall,255,9,254
P099,7,Column,264,7,269
P076,4,Column,167,8,167
P026,31,Column,165,5,169
P019,25,Slab,29,4,33
P060,13,Wall,35,8,38
P071,18,Wall,237,3,241
P047,21,Wall,294,9,295
P071,1,Slab,90,6,95
P026,8,Column,203,3,204
P040,21,Slab,228,3,228
P005,21,Wall,68,3,71
P021,27,Slab,131,5,130
P078,19,Beam,111,5,115
P004,23,Column,12,8,10
P023,5,Column,288,9,290
P084,8,Wall,175,7,176
P015,11,Slab,319,9,318
P093,16,Wall,154,6,158
P008,24,Slab,43,8,42
P041,21,Beam,363,3,362
P019,23,Column,205,8,203
P046,8,Column,172,9,171
P028,7,Slab,294,4,293
P091,2,Column,285,8,285
P068,30,Slab,311,9,311
P015,13,Wall,52,8,51
P099,23,Beam,115,9,114
P037,29,Slab,19,3,19
P001,20,Beam,35,8,33
P067,33,Wall,48,6,48
P024,29,Wall,233,3,237
P027,15,Wall,219,5,219
P040,23,Slab,110,5,110
P063,3,Beam,254,8,254
P061,29,Beam,188,8,190
P036,8,Column,31,6,32
P098,22,Slab,259,9,263
P093,29,Column,163,9,167
P024,2,Column,344,7,342
P024,1,Slab,308,3,313
P004,20,Column,71,6,74
P067,21,Column,307,8,305
P034,8,Column,56,8,60
P057,27,Wall,99,8,98
P049,6,Slab,21,8,23
P087,19,Wall,108,4,107
P053,18,Column,53,8,51
P023,1,Column,6,8,4
P069,25,Wall,231,4,234
P095,27,Column,82,7,87
P053,7,Slab,217,9,220
P062,29,Beam,335,5,334
P041,31,Wall,47,8,48
P057,19,Beam,352,9,351
P060,6,Beam,362,8,363
P054,25,Beam,241,6,246
P070,31,Wall,178,3,179
P057,9,Column,82,6,82
P010,20,Slab,287,8,285
P040,10,Column,192,7,192
P007,27,Slab,143,6,141
P038,13,Column,314,7,314
P085,2,Beam,279,7,280
P061,21,Beam,41,8,41
P084,33,Slab,271,7,273
P003,24,Wall,87,6,87
P051,34,Column,3,4,6
P086,9,Beam,211,3,214
P047,2,Slab,1,7,6
P068,30,Column,75,9,75
P092,22,Slab,231,8,231
P076,11,Wall,76,5,78
P038,17,Wall,260,7,258
P036,13,Column,25,9,25
P041,7,Wall,200,6,198
P069,16,Column,94,7,97
P013,33,Column,352,5,351
P087,1,Wall,108,9,109
P058,11,Slab,355,4,354
P050,6,Slab,95,6,97
P030,20,Column,356,6,358
P062,26,Beam,91,8,89
P025,12,Column,44,6,42
P027,30,Slab,23,5,27
P051,28,Column,190,9,194
P078,27,Slab,23,6,23
P057,19,Wall,234,4,238
P047,5,Column,186,3,185
P100,5,Column,311,3,309
P039,27,Wall,333,7,336
P016,28,Wall,63,3,61
P022,26,Beam,103,5,107
P085,27,Wall,316,3,319
P054,21,Beam,189,5,187
P021,1,Wall,336,5,340
P072,28,Slab,189,7,190
P016,15,Column,351,3,349
P059,17,Wall,69,7,70
P031,26,Slab,114,6,116
P042,20,Wall,104,4,104
P074,25,Column,108,9,107
P032,13,Wall,345,3,343
P059,33,Wall,21,6,22
P034,25,Column,266,8,270
P009,8,Wall,343,9,341
P081,5,Column,209,9,214
P011,6,Beam,170,9,168
P096,23,Wall,194,6,195
P010,30,Slab,347,7,345
P086,14,Wall,123,7,122
P017,23,Column,177,9,180
P068,11,Column,4,9,7
P048,31,Slab,188,4,191
P052,6,Slab,346,4,350
P025,11,Column,352,9,355
P021,13,Beam,29,4,31
P065,12,Beam,86,9,86
P063,2,Column,47,4,45
P089,17,Beam,77,9,78
P051,28,Slab,343,7,342
P036,28,Beam,191,5,189
P081,22,Slab,31,7,33
P088,7,Wall,307,5,309
P066,15,Slab,169,7,170
P015,32,Wall,36,8,41
P096,11,Slab,245,7,250
P039,24,Slab,351,4,349
P070,3,Beam,188,5,193
P001,30,Slab,15,6,18
P023,6,Column,334,8,339
P039,2,Wall,216,6,221
P057,14,Wall,158,8,156
P081,18,Slab,155,6,153
P034,31,Column,241,4,243
P041,13,Slab,296,6,294
P093,26,Slab,45,9,48
P073,12,Beam,175,7,173
P013,18,Slab,346,4,350
P070,9,Slab,56,9,60
P006,21,Beam,54,6,52
P084,24,Beam,341,4,339
P052,34,Column,265,7,268
P003,8,Beam,239,4,243
P081,33,Wall,321,6,326
P063,23,Wall,108,4,111
P049,13,Column,198,8,199
P076,14,Slab,214,3,216
P047,14,Column,246,6,246
P055,16,Beam,38,7,43
P064,26,Slab,173,5,177
P065,26,Column,105,4,106
P081,1,Column,40,8,43
P067,32,Wall,130,4,128
P090,15,Column,181,6,181
P015,21,Slab,194,8,193
P100,18,Column,331,6,331
P032,30,Column,289,3,294
P096,13,Beam,341,7,342
P068,24,Column,59,8,61
P018,30,Slab,351,8,352
P083,2,Wall,26,4,28
P043,19,Wall,103,4,105
P035,25,Wall,21,5,24
P078,14,Wall,80,9,82
P058,6,Beam,327,8,326
P033,12,Slab,199,4,199
P014,20,Beam,322,4,323
P034,23,Wall,37,9,38
P061,30,Beam,14,3,19
P004,30,Column,221,5,223
P088,30,Slab,364,9,367
P059,30,Column,166,4,165
P029,34,Beam,173,4,172
P083,16,Column,150,7,148
P006,24,Beam,172,8,177
P097,14,Beam,81,4,86
P049,26,Slab,336,3,335
P040,8,Slab,225,4,227
P083,14,Slab,359,8,364
P065,31,Wall,35,4,37
P069,2,Slab,358,9,362
P027,4,Column,188,6,188
P080,1,Slab,224,4,226
P006,20,Slab,131,5,131
P013,14,Slab,351,8,356
P064,25,Beam,311,8,310
P062,25,Beam,9,6,7
P099,3,Slab,69,5,73
P019,5,Beam,28,5,31
P076,26,Beam,234,8,239
P080,4,Wall,31,3,32
P043,7,Column,315,4,317
P074,30,Beam,232,5,231
P089,30,Column,338,4,343
P020,19,Beam,54,4,56
P095,33,Slab,175,9,175
P068,33,Beam,298,3,297
P044,14,Beam,279,3,280
P023,10,Column,86,5,86
P002,28,Slab,65,5,64
P022,14,Wall,89,8,92
P057,16,Column,54,9,57
P072,21,Slab,118,9,119
P007,28,Slab,361,6,364
P078,33,Column,229,4,229
P056,6,Beam,267,8,268
P067,15,Slab,319,4,318
P016,3,Wall,22,3,22
P083,14,Beam,247,3,252
P051,2,Column,314,9,317
P082,29,Column,20,8,18
P080,4,Column,184,5,186
P072,26,Column,349,6,352
P097,12,Wall,50,9,48
P012,2,Wall,90,6,91
P053,17,Slab,104,3,103
P075,10,Wall,194,3,198
P005,22,Column,74,6,76
P027,21,Wall,269,6,268
P012,15,Beam,15,5,16
P017,21,Beam,329,6,328
P006,21,Slab,283,4,283
P097,21,Column,198,6,198
P005,32,Wall,344,7,347
P057,5,Slab,195,6,198
P028,9,Slab,36,3,39
P078,18,Wall,205,3,208
P069,21,Slab,308,9,309
P059,8,Column,139,7,138
P033,34,Wall,264,4,269
P062,10,Beam,57,6,60
P050,24,Beam,110,6,111
P019,24,Wall,174,7,178
P086,32,Slab,206,9,208
P069,33,Slab,225,5,228
P066,34,Beam,64,5,63
P094,11,Beam,252,9,252
P047,31,Column,267,4,265
P039,18,Slab,352,6,356
P068,23,Column,332,6,332
P033,22,Beam,320,6,319
P013,18,Beam,357,9,356
P084,20,Beam,93,3,97
P054,13,Beam,183,8,182
P007,1,Column,300,5,299
P079,4,Beam,214,9,217
P087,24,Wall,142,8,144
P014,2,Slab,83,7,81
P087,28,Beam,99,8,102
P019,26,Slab,281,3,281
P054,23,Beam,102,3,104
P093,15,Column,329,5,333
P020,27,Slab,71,6,72
P029,6,Column,338,4,343
P024,10,Beam,266,8,265
P082,30,Wall,130,9,134
P063,29,Wall,60,9,60
P074,4,Wall,301,7,302
P057,5,Wall,119,5,117
P008,4,Wall,263,4,263
P090,16,Column,328,5,332
P062,25,Wall,21,5,23
P029,14,Beam,97,5,100
P074,11,Column,303,5,304
P017,29,Column,1,6,1
P066,34,Wall,203,9,206
P006,22,Slab,128,3,131
P058,14,Beam,350,9,353
P069,24,Column,132,9,134
P028,26,Beam,34,8,33
P062,16,Slab,87,5,87
P041,32,Column,32,4,35
P069,6,Beam,259,8,258
P082,34,Wall,324,4,327
P090,8,Column,313,4,314
P084,30,Column,33,3,37
P041,27,Column,286,3,287
P049,7,Column,326,4,327
P091,27,Wall,49,6,48
P049,25,Slab,286,3,285
P076,15,Slab,82,3,85
P071,25,Beam,144,6,146
P003,22,Wall,280,5,280
P010,18,Wall,92,3,94
P098,12,Beam,224,8,228
P089,23,Wall,217,4,216
P035,25,Wall,156,4,160
P080,10,Column,277,6,277
P002,30,Column,8,4,13
P024,10,Column,36,9,40
P074,34,Wall,124,7,128
P038,13,Wall,9,4,10
P022,29,Slab,40,6,42
P026,9,Column,179,6,183
P043,13,Beam,129,6,131
P055,14,Wall,68,9,70
P039,9,Column,154,8,153
P091,8,Slab,3,7,3
P029,3,Column,364,9,369
P020,33,Slab,265,3,266
P091,32,Slab,4,5,3
P041,7,Wall,262,4,263
P054,19,Slab,329,8,333
P020,34,Slab,282,3,280
P019,14,Beam,85,6,83
P084,19,Slab,342,3,347
P099,26,Beam,35,9,40
P066,17,Beam,114,3,115
P030,28,Column,59,7,57
P053,19,Column,38,6,38
