project_id,floor_no,element_type,planned_start_day,cycle_time_days,actual_start_day,formwork_type,area_sqm,quantity,cost_per_sqm,total_cost
P015,15,Column,282,9,282,Steel,33.31,15,850,424702.5
P021,27,Wall,155,3,154,Timber,65.5,10,600,393000.0
P035,28,Beam,220,5,219,Aluminum,56.83,20,1100,1250260.0
P066,25,Wall,167,8,167,Timber,80.09,10,600,480540.00000000006
P091,33,Slab,322,8,320,Steel,61.77,13,850,682558.5
P002,14,Beam,179,5,179,Steel,48.77,22,850,911999.0
P035,8,Slab,329,5,330,Aluminum,20.79,5,1100,114344.99999999999
P082,14,Column,50,3,51,Aluminum,20.81,22,1100,503602.0
P078,1,Slab,301,7,299,Aluminum,67.63,23,1100,1711038.9999999998
P020,16,Wall,87,7,88,Timber,89.27,13,600,696306.0
P082,18,Wall,33,5,32,Timber,47.33,18,600,511163.99999999994
P010,7,Wall,275,6,273,Aluminum,57.77,16,1100,1016752.0
P025,15,Beam,141,8,139,Steel,63.21,14,850,752199.0
P066,24,Slab,206,4,204,Steel,52.96,13,850,585208.0
P025,13,Beam,224,5,227,Aluminum,15.36,16,1100,270336.0
P054,9,Slab,113,8,118,Timber,63.02,9,600,340308.00000000006
P033,15,Column,278,4,278,Steel,22.34,23,850,436747.00000000006
P036,24,Slab,353,9,358,Timber,60.02,14,600,504168.00000000006
P095,33,Slab,5,4,5,Aluminum,79.78,6,1100,526548.0
P014,16,Slab,212,5,210,Timber,10.49,10,600,62940.0
P065,8,Slab,256,7,260,Timber,48.74,9,600,263196.0
P080,29,Column,334,6,335,Timber,77.11,5,600,231330.0
P054,23,Beam,30,8,33,Steel,57.57,22,850,1076559.0
P052,31,Wall,347,5,352,Timber,31.18,19,600,355452.0
P003,14,Slab,82,4,85,Timber,72.78,6,600,262008.0
P099,30,Wall,236,8,235,Timber,80.51,19,600,917814.0
P041,27,Wall,344,3,343,Aluminum,42.63,15,1100,703395.0
P006,16,Wall,361,9,361,Timber,36.77,17,600,375054.0
P025,6,Wall,323,3,325,Timber,59.06,24,600,850464.0
P013,33,Slab,253,8,251,Steel,42.89,19,850,692673.5
P098,18,Wall,118,8,120,Aluminum,85.23,14,1100,1312542.0
P008,16,Slab,30,4,29,Timber,80.11,21,600,1009386.0
P021,12,Column,111,5,115,Steel,38.07,9,850,291235.5
P098,20,Beam,254,7,254,Steel,51.13,5,850,217302.5
P068,29,Beam,199,5,199,Timber,90.05,23,600,1242690.0
P025,30,Slab,295,6,300,Steel,23.26,16,850,316336.0
P079,26,Slab,342,8,342,Steel,77.88,11,850,728178.0
P068,22,Beam,297,3,297,Steel,38.51,6,850,196401.0
P045,33,Wall,287,4,287,Steel,20.75,19,850,335112.5
P060,29,Slab,244,7,242,Timber,20.53,24,600,295632.0
P012,22,Wall,221,9,224,Timber,34.87,17,600,355674.0
P032,13,Slab,156,5,161,Steel,59.33,11,850,554735.5
P096,9,Slab,236,6,238,Timber,91.71,18,600,990468.0
P092,24,Column,320,5,324,Timber,37.27,24,600,536688.0
P013,15,Column,19,9,22,Steel,27.93,20,850,474810.0
P031,13,Beam,215,6,214,Steel,53.08,13,850,586534.0
P078,27,Column,114,5,113,Steel,24.1,23,850,471155.00000000006
P020,7,Column,200,7,203,Timber,34.45,9,600,186030.0
P018,8,Beam,25,7,25,Timber,98.8,14,600,829920.0
P093,14,Wall,121,4,126,Aluminum,60.22,12,1100,794904.0
P060,12,Column,230,7,230,Aluminum,80.55,18,1100,1594889.9999999998
P063,17,Wall,99,6,102,Steel,29.06,15,850,370515.0
P006,29,Beam,346,4,346,Aluminum,56.81,5,1100,312455.0
P032,27,Slab,3,9,6,Timber,55.95,14,600,469980.00000000006
P093,1,Wall,261,7,265,Aluminum,83.14,6,1100,548724.0
P043,34,Beam,254,3,255,Aluminum,11.94,11,1100,144474.0
P002,4,Wall,20,9,19,Steel,87.44,21,850,1560804.0
P060,24,Beam,204,6,204,Timber,17.16,9,600,92664.0
P023,21,Beam,294,9,296,Timber,92.49,14,600,776915.9999999999
P083,33,Slab,357,9,358,Timber,22.86,9,600,123444.0
P031,7,Wall,128,4,126,Timber,57.9,9,600,312660.0
P005,1,Slab,358,6,362,Aluminum,18.95,13,1100,270985.0
P083,3,Slab,292,4,297,Steel,50.25,15,850,640687.5
P034,15,Wall,174,6,175,Aluminum,36.94,19,1100,772045.9999999999
P010,31,Wall,221,3,222,Timber,47.81,9,600,258174.0
P089,16,Beam,355,9,359,Steel,59.05,21,850,1054042.5
P002,10,Wall,37,7,38,Steel,51.35,23,850,1003892.5
P011,29,Beam,310,5,315,Timber,12.08,18,600,130464.0
P050,6,Beam,149,9,151,Timber,87.71,6,600,315756.0
P031,29,Beam,92,5,96,Steel,18.55,18,850,283815.0
P056,17,Beam,70,5,69,Timber,98.26,24,600,1414944.0000000002
P079,22,Beam,84,9,88,Timber,86.62,8,600,415776.0
P073,24,Beam,205,4,205,Timber,60.52,7,600,254184.00000000003
P087,17,Wall,267,7,272,Timber,32.07,19,600,365598.0
P083,21,Wall,88,9,90,Steel,17.76,20,850,301920.00000000006
P009,11,Column,252,8,254,Steel,70.47,14,850,838592.9999999999
P099,7,Wall,211,4,215,Aluminum,28.14,22,1100,680988.0
P021,5,Slab,343,9,346,Aluminum,75.99,23,1100,1922547.0
P073,21,Column,31,9,31,Steel,84.93,6,850,433143.00000000006
P028,18,Wall,357,4,360,Aluminum,99.01,14,1100,1524754.0
P062,20,Slab,316,9,319,Timber,55.38,6,600,199368.00000000003
P007,15,Wall,61,4,65,Timber,97.72,20,600,1172640.0
P080,5,Beam,67,9,72,Steel,23.44,9,850,179316.0
P016,13,Column,226,8,227,Aluminum,85.26,8,1100,750288.0
P097,12,Beam,335,9,338,Timber,42.38,21,600,533988.0
P004,21,Column,327,4,325,Aluminum,42.83,17,1100,800921.0
P004,6,Column,67,7,68,Steel,34.18,16,850,464848.0
P040,7,Beam,128,9,129,Steel,25.61,21,850,457138.49999999994
P017,26,Column,111,5,114,Aluminum,49.8,13,1100,712140.0
P052,8,Column,272,6,275,Steel,98.86,24,850,2016744.0
P093,9,Wall,301,4,300,Timber,39.69,5,600,119070.0
P052,27,Slab,34,9,39,Timber,51.5,5,600,154500.0
P036,4,Beam,212,7,213,Aluminum,30.57,6,1100,201762.00000000003
P038,21,Wall,300,3,298,Aluminum,40.34,18,1100,798732.0000000001
P050,31,Wall,125,6,127,Steel,14.96,9,850,114444.00000000001
P063,21,Beam,103,4,107,Steel,96.04,5,850,408170.00000000006
P063,25,Column,206,4,209,Aluminum,55.88,5,1100,307340.00000000006
P062,15,Beam,120,9,121,Steel,75.97,19,850,1226915.5
P099,28,Slab,170,6,172,Aluminum,56.2,5,1100,309100.0
P007,14,Slab,35,6,38,Aluminum,79.32,20,1100,1745039.9999999998
P027,4,Beam,331,4,330,Timber,58.07,14,600,487788.0
P092,20,Wall,246,7,250,Steel,73.14,9,850,559521.0
P086,34,Beam,340,3,343,Aluminum,71.63,6,1100,472757.99999999994
P014,12,Slab,309,9,307,Timber,58.02,18,600,626616.0000000001
P071,33,Beam,58,7,58,Aluminum,30.75,15,1100,507375.0
P086,24,Column,306,8,311,Steel,29.07,23,850,568318.5
P005,20,Beam,141,5,141,Timber,88.69,23,600,1223922.0
P055,5,Wall,111,5,114,Steel,20.86,23,850,407813.0
P002,30,Column,163,5,162,Timber,60.33,7,600,253386.0
P062,24,Slab,111,4,109,Steel,55.23,15,850,704182.5
P091,7,Beam,152,9,155,Aluminum,81.86,24,1100,2161104.0
P021,16,Wall,65,9,70,Aluminum,22.19,20,1100,488180.0
P079,15,Wall,106,3,108,Aluminum,71.86,21,1100,1659966.0
P021,23,Slab,216,3,215,Steel,64.53,24,850,1316412.0
P010,12,Beam,91,9,92,Timber,73.11,8,600,350928.0
P087,29,Wall,26,8,28,Steel,65.91,19,850,1064446.5
P058,15,Column,157,4,160,Aluminum,60.63,15,1100,1000395.0
P039,29,Beam,72,4,73,Steel,93.36,20,850,1587120.0
P005,21,Slab,44,4,45,Timber,41.38,24,600,595872.0000000001
P065,15,Column,90,3,94,Aluminum,26.62,8,1100,234256.0
P013,14,Beam,133,4,135,Steel,81.59,9,850,624163.5
P085,16,Wall,161,6,165,Aluminum,21.67,23,1100,548251.0
P090,15,Slab,232,6,233,Steel,71.18,20,850,1210060.0
P085,4,Slab,261,6,265,Steel,59.46,23,850,1162443.0
P053,27,Beam,111,4,111,Aluminum,10.12,20,1100,222639.99999999997
P082,23,Slab,164,6,168,Timber,31.59,5,600,94770.0
P045,29,Column,77,9,79,Aluminum,54.63,7,1100,420651.0
P032,9,Beam,209,8,208,Timber,39.67,6,600,142812.0
P036,7,Column,13,4,13,Aluminum,48.42,14,1100,745668.0
P081,4,Slab,58,8,57,Aluminum,64.11,10,1100,705210.0
P099,5,Slab,344,6,342,Aluminum,75.77,12,1100,1000164.0
P060,5,Slab,36,4,35,Steel,23.61,10,850,200685.0
P011,11,Column,25,7,27,Steel,35.46,24,850,723384.0
P063,28,Slab,34,5,33,Timber,67.28,23,600,928464.0
P021,16,Beam,140,7,138,Aluminum,62.96,20,1100,1385120.0
P052,30,Wall,275,5,276,Steel,76.32,8,850,518975.99999999994
P055,4,Beam,362,5,364,Steel,67.65,20,850,1150050.0
P026,2,Wall,222,6,225,Aluminum,39.71,13,1100,567853.0
P068,3,Slab,37,5,37,Aluminum,54.93,13,1100,785499.0
P034,21,Beam,363,5,368,Aluminum,89.63,12,1100,1183116.0
P052,6,Column,129,7,129,Timber,26.75,9,600,144450.0
P082,18,Wall,316,5,315,Aluminum,43.91,21,1100,1014320.9999999999
P099,5,Column,323,4,323,Steel,85.76,20,850,1457920.0
P093,9,Wall,218,8,222,Steel,42.78,22,850,799986.0000000001
P052,20,Slab,335,9,333,Aluminum,47.1,10,1100,518100.0
P029,28,Beam,248,8,251,Timber,38.73,14,600,325331.99999999994
P038,26,Wall,111,4,115,Timber,90.96,24,600,1309824.0
P042,18,Beam,304,9,304,Steel,69.7,20,850,1184900.0
P021,19,Wall,220,6,224,Timber,28.79,23,600,397302.0
P042,3,Wall,196,9,195,Aluminum,77.47,12,1100,1022604.0
P013,9,Slab,147,9,152,Timber,13.47,22,600,177804.00000000003
P064,31,Wall,344,7,344,Timber,45.68,9,600,246672.0
P017,17,Column,40,9,44,Steel,91.88,17,850,1327666.0
P009,23,Wall,134,9,139,Steel,72.08,19,850,1164092.0
P041,34,Wall,352,3,353,Steel,81.38,10,850,691730.0
P001,5,Wall,191,8,192,Timber,93.82,6,600,337752.0
P002,15,Slab,163,7,163,Steel,79.71,19,850,1287316.4999999998
P060,3,Beam,61,8,63,Steel,17.97,15,850,229117.49999999997
P048,19,Beam,5,3,8,Timber,30.76,9,600,166104.00000000003
P029,28,Slab,37,5,37,Timber,55.0,14,600,462000.0
P097,3,Column,217,3,222,Timber,11.25,24,600,162000.0
P010,4,Column,225,5,226,Aluminum,66.21,24,1100,1747944.0
P058,24,Slab,216,8,221,Aluminum,69.15,22,1100,1673430.0000000002
P060,31,Beam,139,9,140,Timber,72.68,16,600,697728.0000000001
P021,11,Column,106,7,104,Steel,60.02,21,850,1071357.0
P028,1,Slab,99,7,98,Timber,50.71,21,600,638946.0
P075,9,Beam,168,6,166,Aluminum,87.0,8,1100,765600.0
P034,17,Column,264,8,266,Steel,79.06,23,850,1545623.0
P008,1,Column,87,6,86,Aluminum,65.11,22,1100,1575662.0
P059,3,Slab,84,9,84,Aluminum,14.14,24,1100,373296.0
P086,26,Beam,224,8,224,Aluminum,72.45,14,1100,1115730.0
P072,31,Column,11,9,13,Aluminum,60.23,18,1100,1192553.9999999998
P049,26,Slab,327,5,330,Steel,72.41,24,850,1477164.0
P079,23,Column,186,8,187,Timber,38.03,17,600,387906.0
P017,30,Beam,350,8,353,Steel,79.93,18,850,1222929.0000000002
P060,10,Wall,231,5,231,Timber,47.61,8,600,228528.0
P087,8,Column,141,4,139,Timber,90.5,8,600,434400.0
P088,25,Beam,106,9,107,Steel,19.36,8,850,131648.0
P045,22,Column,253,4,253,Timber,53.61,15,600,482490.0
P083,15,Wall,49,8,50,Steel,28.52,5,850,121210.0
P069,10,Wall,263,4,266,Steel,50.81,10,850,431885.0
P032,20,Column,205,7,204,Timber,41.84,9,600,225936.00000000003
P044,23,Slab,357,8,357,Timber,82.31,9,600,444474.0
P065,1,Column,51,3,51,Aluminum,25.05,16,1100,440880.0
P087,2,Beam,175,5,180,Timber,63.88,19,600,728232.0
P008,19,Slab,225,6,226,Timber,46.58,10,600,279480.0
P077,14,Beam,261,5,260,Timber,56.63,16,600,543648.0
P072,8,Beam,222,8,220,Steel,74.3,18,850,1136790.0
P087,12,Slab,223,3,228,Aluminum,42.14,15,1100,695310.0
P043,26,Wall,269,5,268,Aluminum,43.03,12,1100,567996.0
P001,27,Beam,298,6,296,Steel,16.91,24,850,344964.0
P051,29,Column,318,6,322,Timber,59.68,11,600,393888.0
P024,15,Wall,74,3,78,Timber,47.52,10,600,285120.0
P099,1,Wall,114,6,119,Steel,83.11,17,850,1200939.5
P024,28,Slab,219,7,221,Aluminum,49.53,10,1100,544830.0
P017,3,Column,54,6,57,Steel,97.37,24,850,1986348.0
P005,18,Column,200,9,205,Steel,25.46,6,850,129845.99999999999
P020,34,Wall,131,3,130,Timber,34.04,15,600,306360.0
P021,32,Beam,339,3,337,Steel,45.27,12,850,461754.0
P058,29,Beam,192,5,193,Steel,25.34,8,850,172312.0
P031,25,Column,179,6,177,Steel,97.51,11,850,911718.5000000001
P100,26,Wall,305,6,307,Timber,67.69,19,600,771665.9999999999
P011,8,Wall,287,8,285,Timber,11.01,23,600,151938.0
P052,19,Wall,240,8,243,Aluminum,62.07,14,1100,955878.0
P015,22,Slab,245,3,249,Aluminum,80.31,7,1100,618387.0000000001
P083,29,Column,330,8,335,Aluminum,14.62,14,1100,225147.99999999997
P007,33,Column,117,5,116,Timber,62.01,23,600,855738.0
P028,3,Beam,208,9,206,Aluminum,43.69,7,1100,336413.0
P051,19,Beam,212,5,211,Steel,62.33,22,850,1165571.0
P058,10,Column,259,7,261,Aluminum,32.73,9,1100,324027.0
P005,27,Column,163,9,161,Steel,69.94,5,850,297245.0
P005,15,Beam,226,7,224,Aluminum,70.42,10,1100,774620.0
P094,11,Column,341,3,343,Timber,58.56,11,600,386496.00000000006
P096,26,Beam,64,5,67,Steel,93.14,6,850,475014.0
P008,24,Column,246,5,244,Steel,91.85,21,850,1639522.5
P064,13,Slab,18,7,17,Timber,14.28,7,600,59975.99999999999
P010,32,Slab,34,9,37,Steel,36.09,6,850,184059.00000000003
P038,4,Wall,312,8,312,Aluminum,42.78,22,1100,1035276.0000000001
P096,13,Column,323,7,326,Timber,14.97,18,600,161676.00000000003
P092,9,Beam,181,3,185,Steel,57.13,20,850,971210.0000000001
P081,34,Column,347,9,347,Timber,12.21,16,600,117216.00000000001
P095,7,Column,194,5,198,Steel,71.03,22,850,1328261.0
P008,1,Wall,192,3,191,Steel,10.24,12,850,104448.0
P025,12,Beam,67,7,71,Timber,12.87,5,600,38610.0
P073,21,Column,209,6,214,Steel,85.04,7,850,505988.00000000006
P066,11,Beam,167,7,165,Aluminum,32.73,11,1100,396032.99999999994
P079,14,Column,246,5,245,Aluminum,17.31,6,1100,114245.99999999999
P050,34,Wall,245,3,247,Steel,45.95,20,850,781150.0
P067,34,Beam,166,8,165,Steel,14.59,13,850,161219.5
P049,25,Column,296,8,296,Aluminum,77.54,7,1100,597058.0000000001
P036,4,Slab,211,5,216,Steel,54.47,23,850,1064888.5
P068,26,Beam,133,7,137,Steel,59.67,18,850,912951.0
P078,16,Wall,197,7,200,Timber,77.77,19,600,886577.9999999999
P041,10,Slab,347,4,351,Timber,80.6,20,600,967200.0
P089,2,Beam,49,7,50,Aluminum,22.26,23,1100,563178.0
P062,19,Beam,64,5,66,Aluminum,35.23,19,1100,736306.9999999999
P010,6,Beam,112,9,110,Timber,25.81,18,600,278748.0
P021,19,Beam,356,9,360,Timber,14.86,9,600,80244.0
P036,8,Column,185,3,188,Aluminum,58.38,11,1100,706398.0000000001
P012,14,Column,104,3,103,Aluminum,32.48,7,1100,250095.99999999997
P091,10,Beam,213,4,215,Aluminum,23.86,6,1100,157476.0
P002,3,Wall,5,8,10,Timber,55.91,20,600,670919.9999999999
P013,29,Column,119,5,119,Timber,67.06,6,600,241416.0
P053,15,Beam,344,7,348,Steel,79.49,7,850,472965.49999999994
P032,23,Beam,249,6,247,Aluminum,11.57,16,1100,203632.0
P095,23,Wall,167,3,166,Steel,57.37,5,850,243822.49999999997
P016,18,Wall,242,5,246,Aluminum,34.04,19,1100,711436.0
P032,19,Wall,280,9,283,Timber,99.24,5,600,297720.0
P032,28,Slab,363,4,362,Aluminum,24.12,5,1100,132660.0
P098,26,Beam,238,6,236,Aluminum,49.41,19,1100,1032669.0
P011,10,Wall,306,8,309,Timber,97.3,7,600,408660.0
P010,4,Beam,205,5,206,Timber,29.18,18,600,315144.0
P015,2,Column,314,7,315,Aluminum,82.62,14,1100,1272348.0
P017,3,Beam,1,8,3,Aluminum,31.87,7,1100,245399.0
P040,7,Beam,171,9,175,Aluminum,16.77,24,1100,442728.0
P018,16,Slab,167,3,166,Aluminum,13.85,22,1100,335170.0
P055,31,Column,258,9,263,Aluminum,95.39,8,1100,839432.0
P073,10,Column,63,7,65,Timber,29.16,21,600,367416.0
P025,19,Slab,272,4,270,Aluminum,36.28,24,1100,957792.0
P059,28,Wall,37,3,40,Timber,97.02,8,600,465696.0
P078,17,Wall,16,6,18,Steel,69.17,19,850,1117095.5
P089,28,Beam,254,3,258,Steel,53.93,15,850,687607.5
P022,19,Slab,343,9,342,Aluminum,49.19,7,1100,378763.0
P030,23,Wall,346,7,350,Steel,14.37,11,850,134359.5
P084,20,Column,336,8,341,Timber,85.51,14,600,718284.0000000001
P085,13,Slab,27,5,28,Steel,78.58,23,850,1536239.0
P044,13,Wall,111,9,112,Steel,18.16,24,850,370464.0
P032,11,Column,233,5,238,Timber,41.81,12,600,301032.0
P051,15,Slab,64,5,62,Aluminum,89.69,19,1100,1874521.0
P046,17,Beam,97,9,97,Timber,31.28,17,600,319056.0
P021,28,Beam,267,9,269,Timber,65.01,7,600,273042.00000000006
P099,19,Column,326,9,324,Aluminum,53.91,19,1100,1126719.0
P032,4,Wall,232,4,233,Timber,83.67,14,600,702828.0000000001
P094,22,Wall,48,4,52,Aluminum,13.24,19,1100,276716.0
P039,22,Slab,350,5,349,Timber,83.45,18,600,901260.0000000001
P012,34,Column,210,6,209,Steel,22.21,13,850,245420.50000000003
P047,33,Wall,76,7,79,Aluminum,11.36,19,1100,237423.99999999997
P018,33,Beam,247,6,247,Aluminum,63.6,18,1100,1259280.0
P021,12,Column,316,9,321,Steel,33.28,19,850,537472.0
P013,2,Beam,68,9,73,Steel,73.83,18,850,1129599.0
P021,28,Column,313,5,313,Aluminum,52.28,14,1100,805112.0000000001
P008,10,Slab,64,7,65,Steel,64.5,16,850,877200.0
P046,22,Wall,182,4,182,Timber,72.07,24,600,1037807.9999999999
P007,17,Wall,80,3,80,Timber,93.42,18,600,1008936.0
P023,26,Wall,343,3,342,Timber,84.08,19,600,958512.0
P096,3,Beam,203,7,206,Steel,54.56,16,850,742016.0
P075,7,Wall,182,6,184,Steel,49.42,6,850,252041.99999999997
P086,8,Column,214,7,218,Steel,68.92,23,850,1347386.0
P022,20,Beam,120,6,119,Aluminum,76.02,21,1100,1756061.9999999998
P089,12,Slab,241,9,244,Timber,25.54,19,600,291156.0
P022,17,Beam,335,8,334,Aluminum,12.93,14,1100,199121.99999999997
P092,28,Slab,202,6,203,Aluminum,50.92,15,1100,840180.0000000001
P029,10,Beam,292,3,295,Aluminum,18.95,18,1100,375209.99999999994
P013,22,Wall,54,4,59,Timber,34.55,13,600,269490.0
P082,33,Slab,145,5,148,Timber,62.63,7,600,263046.0
P002,22,Wall,356,9,357,Timber,23.63,5,600,70890.0
P029,13,Beam,86,4,91,Steel,12.56,10,850,106760.0
P085,27,Slab,22,5,25,Timber,59.91,10,600,359459.99999999994
P079,15,Column,331,8,335,Steel,51.96,9,850,397494.0
P052,22,Column,292,3,294,Steel,37.57,8,850,255476.0
P027,30,Beam,236,9,234,Steel,52.19,7,850,310530.5
P050,34,Slab,29,5,29,Timber,71.52,17,600,729504.0
P095,34,Column,183,8,186,Timber,19.81,8,600,95088.0
P079,19,Wall,160,9,160,Timber,33.01,11,600,217865.99999999997
P023,8,Wall,18,6,17,Timber,81.55,23,600,1125390.0
P088,33,Beam,38,7,37,Aluminum,70.31,15,1100,1160115.0
P044,28,Wall,101,9,104,Timber,33.96,14,600,285264.0
P077,25,Wall,290,9,293,Timber,45.83,23,600,632454.0
P022,17,Wall,173,5,176,Timber,20.78,23,600,286764.00000000006
P043,24,Column,343,4,347,Timber,32.78,9,600,177012.0
P037,21,Slab,67,3,71,Timber,85.7,5,600,257100.0
P061,2,Beam,191,3,193,Aluminum,49.64,15,1100,819060.0
P097,31,Slab,43,9,46,Aluminum,67.63,17,1100,1264681.0
P056,33,Slab,123,9,127,Steel,24.38,12,850,248676.0
P003,30,Slab,278,8,278,Steel,26.5,20,850,450500.0
P063,12,Column,343,7,342,Timber,94.68,13,600,738504.0000000001
P019,12,Wall,196,6,195,Steel,85.73,8,850,582964.0
P023,24,Beam,333,9,337,Aluminum,81.13,23,1100,2052588.9999999998
P029,24,Slab,125,6,128,Timber,39.66,11,600,261756.0
P030,11,Wall,96,3,97,Steel,60.65,16,850,824840.0
P039,13,Column,157,6,161,Steel,54.31,13,850,600125.5
P025,27,Slab,40,9,38,Aluminum,96.06,17,1100,1796322.0
P008,8,Wall,360,9,363,Timber,31.57,16,600,303072.0
P058,10,Column,173,8,178,Steel,95.25,13,850,1052512.5
P016,8,Wall,173,7,175,Aluminum,73.62,16,1100,1295712.0
P072,20,Beam,120,3,118,Timber,47.23,20,600,566760.0
P001,8,Wall,273,6,271,Aluminum,33.97,17,1100,635239.0
P005,9,Wall,358,5,361,Timber,78.16,7,600,328272.0
P003,7,Beam,364,5,366,Timber,84.06,10,600,504360.0
P065,14,Beam,346,8,350,Timber,42.18,18,600,455544.0
P004,28,Wall,319,6,319,Aluminum,25.47,6,1100,168102.0
P099,2,Beam,261,5,264,Timber,54.3,24,600,781919.9999999999
P096,8,Wall,281,7,280,Steel,52.17,7,850,310411.5
P064,13,Slab,329,4,331,Timber,75.29,20,600,903480.0000000001
P098,21,Wall,124,7,123,Timber,97.59,12,600,702648.0
P089,28,Column,278,8,282,Aluminum,57.82,10,1100,636020.0
P010,23,Beam,93,7,97,Timber,75.85,7,600,318569.99999999994
P021,15,Slab,35,6,39,Steel,41.55,9,850,317857.5
P046,2,Beam,311,9,314,Steel,63.96,8,850,434928.0
P091,12,Beam,128,7,132,Timber,20.38,10,600,122279.99999999999
P027,3,Beam,20,6,23,Aluminum,83.34,6,1100,550044.0
P066,5,Column,261,3,262,Steel,40.99,7,850,243890.5
P041,3,Column,167,6,165,Aluminum,17.2,12,1100,227039.99999999997
P013,19,Wall,319,8,320,Timber,99.15,19,600,1130310.0
P009,2,Column,236,6,240,Aluminum,91.16,14,1100,1403864.0
P036,17,Beam,32,3,30,Timber,27.77,19,600,316578.0
P086,14,Slab,231,9,235,Timber,42.69,10,600,256140.0
P090,28,Slab,191,4,195,Aluminum,94.3,16,1100,1659680.0
P058,27,Slab,330,8,335,Steel,81.67,12,850,833034.0
P054,10,Beam,145,3,145,Timber,91.58,10,600,549480.0
P012,3,Column,101,6,103,Timber,60.63,20,600,727560.0000000001
P081,25,Slab,79,8,79,Timber,31.88,19,600,363432.0
P078,22,Beam,160,5,158,Steel,30.43,24,850,620772.0
P014,30,Beam,255,6,260,Steel,57.31,19,850,925556.5000000001
P034,21,Slab,279,3,282,Timber,93.16,12,600,670752.0
P053,30,Slab,188,6,192,Steel,66.84,23,850,1306722.0000000002
P020,28,Wall,210,9,211,Aluminum,13.1,18,1100,259379.99999999997
P075,31,Wall,241,3,245,Aluminum,60.44,20,1100,1329680.0
P016,26,Beam,56,7,54,Aluminum,64.76,16,1100,1139776.0
P095,22,Wall,137,4,141,Aluminum,62.34,7,1100,480018.0
P070,21,Wall,106,4,109,Timber,72.2,24,600,1039680.0000000001
P056,1,Slab,69,8,69,Aluminum,36.42,9,1100,360558.00000000006
P083,13,Wall,190,3,193,Steel,22.94,17,850,331483.0
P058,21,Beam,192,4,195,Timber,77.5,19,600,883500.0
P004,9,Slab,278,5,278,Steel,27.67,12,850,282234.0
P004,17,Wall,32,8,33,Aluminum,20.27,18,1100,401346.0
P020,21,Wall,175,5,179,Timber,42.34,19,600,482676.0
P010,31,Wall,258,4,261,Timber,84.95,23,600,1172310.0
P024,22,Column,123,3,124,Timber,17.39,12,600,125208.0
P099,12,Wall,85,8,88,Aluminum,27.6,14,1100,425040.00000000006
P026,6,Wall,216,5,219,Steel,52.77,17,850,762526.5
P037,16,Beam,216,9,216,Timber,35.89,8,600,172272.0
P085,26,Wall,14,4,12,Steel,74.95,15,850,955612.5
P054,5,Column,37,6,41,Aluminum,70.74,6,1100,466883.99999999994
P021,9,Slab,27,5,25,Aluminum,85.83,23,1100,2171499.0
P074,14,Wall,152,7,154,Steel,28.35,22,850,530145.0
P038,30,Wall,64,8,64,Timber,68.4,10,600,410400.0
P046,26,Beam,70,5,72,Steel,79.73,18,850,1219869.0
P004,29,Wall,154,8,157,Timber,15.64,22,600,206448.00000000003
P060,19,Wall,253,4,258,Timber,13.31,15,600,119790.0
P057,8,Wall,271,4,271,Steel,60.33,11,850,564085.5
P045,23,Wall,29,8,31,Timber,62.91,19,600,717174.0
P020,31,Slab,74,4,73,Timber,45.35,5,600,136050.0
P017,32,Beam,284,3,289,Timber,13.25,14,600,111300.0
P071,5,Slab,59,8,57,Aluminum,46.17,13,1100,660231.0
P004,16,Column,243,3,241,Timber,67.79,20,600,813480.0000000001
P093,17,Wall,329,8,328,Steel,73.17,20,850,1243890.0
P014,32,Column,149,6,150,Aluminum,54.35,21,1100,1255485.0000000002
P003,32,Slab,10,6,15,Timber,57.25,16,600,549600.0
P088,20,Column,132,5,131,Aluminum,70.54,11,1100,853534.0000000001
P080,2,Wall,62,4,67,Steel,50.44,6,850,257244.0
P058,20,Column,262,6,266,Aluminum,33.72,7,1100,259644.0
P055,18,Slab,218,4,223,Aluminum,30.07,10,1100,330770.0
P004,1,Wall,232,5,230,Timber,77.75,23,600,1072950.0
P024,29,Beam,336,3,341,Steel,53.88,12,850,549576.0
P034,29,Slab,72,6,76,Steel,66.17,8,850,449956.0
P030,19,Wall,16,7,16,Aluminum,52.4,11,1100,634040.0
P082,6,Beam,38,7,40,Timber,83.7,8,600,401760.0
P019,8,Column,177,7,175,Aluminum,54.72,22,1100,1324224.0
P031,24,Column,321,9,325,Aluminum,98.92,11,1100,1196932.0000000002
P060,20,Column,83,7,82,Aluminum,31.83,5,1100,175064.99999999997
P060,14,Wall,17,7,17,Timber,22.47,9,600,121338.0
P019,5,Column,156,7,161,Aluminum,43.62,14,1100,671748.0
P049,34,Column,172,7,170,Timber,92.68,18,600,1000944.0000000001
P063,16,Beam,70,6,69,Steel,86.71,5,850,368517.49999999994
P083,7,Beam,71,7,75,Aluminum,32.26,16,1100,567776.0
P022,16,Beam,255,8,253,Steel,63.97,23,850,1250613.5
P024,7,Wall,131,8,136,Aluminum,63.0,6,1100,415800.0
P076,27,Slab,49,7,48,Steel,36.41,18,850,557072.9999999999
P030,14,Column,21,9,24,Timber,31.18,7,600,130956.0
P058,14,Column,320,5,319,Aluminum,45.1,23,1100,1141030.0
P031,33,Wall,220,6,225,Aluminum,80.98,7,1100,623546.0
P100,33,Column,187,8,185,Timber,27.25,17,600,277950.0
